Grant,"Organization Name","Focus Area",Amount,Date
"Rethink Priorities — Farm Animal Welfare Research Support (2023)","Rethink Priorities","Farm Animal Welfare","$3,253,550","January 2024"
"Global Bar Magazine — Global Health Content","Global Bar Magazine","Global Aid Policy","$50,000","January 2024"
"Berkeley Existential Risk Initiative — Latent Adversarial Training Project ","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","$45,000","March 2024"
"OPTIC Forecasting — Forecasting Competitions","OPTIC Forecasting","Global Catastrophic Risks Capacity Building","$39,000","January 2024"
"University of Illinois Foundation — LLM Hacking Benchmarks","University of Illinois Urbana-Champaign","Potential Risks from Advanced AI","$800,000","January 2024"
"Center for Long-Term Cybersecurity — AI Risk Management Frameworks (2024)","Center for Long-Term Cybersecurity","Potential Risks from Advanced AI","$200,000","February 2024"
"FutureHouse — Benchmarks for Biology Research and Development",FutureHouse,"Potential Risks from Advanced AI","$2,946,250","March 2024"
"Berkeley Existential Risk Initiative — AI Risk Management Frameworks (2024)","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","$713,000","February 2024"
"University of Pennsylvania — High-Skilled Immigration Budget Modeling","University of Pennsylvania","Innovation Policy","$1,100,000","April 2024"
"Global Food Partners — Advocacy Summits","Global Food Partners","Farm Animal Welfare","$100,000","February 2024"
"Charity Entrepreneurship — Work Stipends for Incubated Charities","Charity Entrepreneurship","Effective Altruism (Global Health and Wellbeing)","$130,200","January 2024"
"AI Safety Support – Astra Fellowship","AI Safety Support","Potential Risks from Advanced AI","$567,000","January 2024"
"Scarlet Spark – Management and Leadership Training","Scarlet Spark","Farm Animal Welfare","$450,750","January 2024"
"Swedish University of Agricultural Sciences – Humane Fish Slaughter Research","Swedish University of Agricultural Sciences","Fish Welfare","$53,700","January 2024"
"Williams College — Regulatory Affairs Position","Williams College","Global Health & Wellbeing","$176,000","March 2024"
"Produtor do Bem Certifição – Farm Animal Welfare Certification Program","Produtor do Bem","Farm Animal Welfare","$300,000","January 2024"
"Condor Camp — Summer Program for Brazilian Students (2024)","Condor Camp","Global Catastrophic Risks Capacity Building","$652,465","January 2024"
"Dalberg Advisors – R&D Portfolio Analysis","Dalberg Advisors","Global Health & Wellbeing","$73,000","July 2022"
"Wild Animal Initiative – Academic Field Building","Wild Animal Initiative","Farm Animal Welfare","$2,500,000","June 2023"
"Malaria Research and Training Center – TB31F Clinical Trial","Malaria Research and Training Center","Global Health R&D","$2,320,803","March 2024"
"International Rescue Committee — Acute Malnutrition Treatment (January 2024)","International Rescue Committee","GiveWell-Recommended Charities","$7,485,323","March 2024"
"Cambridge Biosecurity Hub – Biosecurity Course and Club Events  ","Cambridge Biosecurity Hub","Global Catastrophic Risks Capacity Building","$11,936","March 2024"
"FutureSearch – Benchmark for Language Model Forecasting  ",FutureSearch,"Potential Risks from Advanced AI","$606,600","March 2024"
"Animals Aotearoa – Broiler Welfare Campaigns","Animals Aotearoa","Farm Animal Welfare","$150,000","March 2024"
"fair-fish international association — Database Support","fair-fish international association","Farm Animal Welfare","$112,058","February 2024"
"Pivotal Research — Summer Research Fellowship (2024)","Pivotal Research","Global Catastrophic Risks Capacity Building","$395,608","March 2024"
"Pandemic Action Network – European Commission Aid Advocacy  ","Pandemic Action Network","Global Aid Policy","$300,000","February 2024"
"Stanford University — Hepatitis B Research","Stanford University","Human Health and Wellbeing","$2,500,000","February 2024"
"Dartmouth — Workshop Travel Expenses (March 2024)",Dartmouth,"Innovation Policy","$20,000","March 2024"
"Dartmouth — Workshop Travel Expenses (January 2024)",Dartmouth,"Innovation Policy","$11,000","January 2024"
"Evidence Action — Scale-Up of In-Line Chlorination in India (October 2023)","Evidence Action","GiveWell-Recommended Charities","$4,190,007","October 2023"
"Stanford Existential Risks Initiative – General Support","Stanford Existential Risks Initiative","Global Catastrophic Risks Capacity Building","$630,000","November 2023"
"International AIDS Vaccine Initiative – Samples for Tuberculosis Vaccine Trial","International AIDS Vaccine Initiative","Global Health R&D","$796,878","March 2024"
"University of California, Berkeley — Alternative Meats Lab (2024)","University of California, Berkeley","Alternatives to Animal Products","$800,000","March 2024"
"Stanford University – Meat Purchasing Behavioral Studies","Stanford University","Farm Animal Welfare","$200,000","November 2023"
"Centre for Effective Altruism – General Support (EVF USA, November 2023)","Effective Ventures Foundation USA","Global Catastrophic Risks Capacity Building","$3,513,239","November 2023"
"Centre for Effective Altruism – General Support (EVF, November 2023)","Effective Ventures Foundation","Global Catastrophic Risks Capacity Building","$3,342,238","November 2023"
"cFactual — Fellowship Program",cFactual,"Global Catastrophic Risks Capacity Building","$220,000","March 2024"
"International Society for Applied Ethology — Farm Animal Welfare Science in Developing Countries","International Society for Applied Ethology","Farm Animal Welfare","$396,515","February 2024"
"FAR AI — AI Alignment Research Projects","FAR AI","Potential Risks from Advanced AI","$645,750","January 2024"
"80,000 Hours — Marketing (October 2023)","80,000 Hours","Global Catastrophic Risks Capacity Building","$2,400,000","October 2023"
"Matthew Kenney – Language Model Capabilities Benchmarking","Matthew Kenney","Potential Risks from Advanced AI","$397,350","September 2023"
"Washington University in St. Louis — Gut Microbiome Repair Research","Washington University in St. Louis","Scientific Research","$2,693,834","December 2023"
"Government Relations Group – Japan and Korea Aid Policy Dialogues","Government Relations Group","Global Aid Policy","$355,030","May 2023"
"AirEmissions Consultants — Air Quality in Pakistan","AirEmissions Consultants","South Asian Air Quality","$100,000","January 2024"
"UK Day One – Science and Technology Policy Crowdsourcing","UK Day One","Innovation Policy","$150,000","March 2024"
"FishEthoGroup – Sea Bass and Sea Bream Environmental Enrichments",FishEthoGroup,"Farm Animal Welfare","$647,204","February 2024"
"Yale University — Purchase of TEER Instrument","Yale University","Scientific Research","$151,325","January 2024"
"Alliance for International Medical Action (ALIMA) — Malnutrition Treatment in Chad (May 2021)","Alliance for International Medical Action","GiveWell-Recommended Charities","$7,968,073","June 2021"
"Support for Career Development and Transitions",,"Global Catastrophic Risks Capacity Building","$4,540,507",
"PoliPoli — Global Health Aid Advocacy and Incubation",PoliPoli,"Global Aid Policy","$506,982","June 2023"
"Good Impressions — Amazon Advertising Campaign","Good Impressions","Global Catastrophic Risks Capacity Building","$60,000","March 2024"
"Cellular Agriculture Australia — Advocacy for Cellular Agriculture","Cellular Agriculture Australia","Alternatives to Animal Products","$239,659","March 2024"
"People for Animals Uttarakhand – Cage-Free Campaigns in India","People for Animals Uttarakhand","Farm Animal Welfare","$91,100","March 2024"
"Plant Based Foods Institute — International Regranting Against Labeling Laws (2024)","Plant Based Foods Institute","Alternatives to Animal Products","$257,000","January 2024"
"Nice Light — AI Documentary ","Nice Light","Global Catastrophic Risks Capacity Building","$127,070","January 2024"
"Arizona State University — Adversarial Robustness Research","Arizona State University","Potential Risks from Advanced AI","$200,000","August 2022"
"AI Worldviews Contest Winners",,"Potential Risks from Advanced AI","$225,000","August 2023"
"Dansk Vegetarisk Forening — Plant Protein Advocacy","Dansk Vegetarisk Forening","Alternatives to Animal Products","$325,800","January 2024"
"Fiocruz — Ethical Protections for Potential Tuberculosis Vaccine Trial",Fiocruz,"Human Health and Wellbeing","$165,770","November 2023"
"Plant Based Foods Association — Advocacy and Corporate Engagement","Plant Based Foods Association","Alternatives to Animal Products","$2,500,000","January 2024"
"Osaka University — Reproductive Biology Research ","Osaka University","Human Health and Wellbeing","$2,500,000","January 2024"
"London Initiative for Safe AI (LISA) — London Coworking Space","London Initiative for Safe AI","Global Catastrophic Risks Capacity Building","$821,248","March 2024"
"Rational Animations — Video Animation Costs (2024)","Rational Animations","Global Catastrophic Risks Capacity Building","$2,980,355","February 2024"
"Rutgers University — Ethical Protections for Potential Tuberculosis Vaccine Trial","Rutgers University","Human Health and Wellbeing","$150,416","November 2023"
"Biosecurity Fellowships",,"Biosecurity & Pandemic Preparedness","$520,252","January 2023"
"Massachusetts Institute of Technology — AI Trends and Impacts Research (2023)","Massachusetts Institute of Technology","Potential Risks from Advanced AI","$2,911,324","July 2023"
"AWARE — Pig Welfare Reforms (2024)","Animal Welfare Awareness, Research, and Education","Farm Animal Welfare","$301,522","February 2024"
"Asociación para el Rescate y Bienestar de los Animales — Cage-Free Campaigns ","Asociación para el Rescate y Bienestar de los Animales","Cage-Free Reforms","$100,000","March 2024"
"Cordaid — Dutch Aid Advocacy",Cordaid,"Global Aid Policy","$54,495","January 2024"
"Stanford University — Ethical Protections for Potential Tuberculosis Vaccine Trial","Stanford University","Human Health and Wellbeing","$188,478","February 2024"
"Harvard University — AI Interpretability, Controllability, and Safety Research","Harvard University","Potential Risks from Advanced AI","$1,000,000","January 2024"
"Michael Specter — Existential Risk Courses at MIT (2023)","Michael Specter","Global Catastrophic Risks Capacity Building","$60,000","September 2023"
"Global Priorities Institute — General Support (October 2023)","Global Priorities Institute","Global Catastrophic Risks","$3,078,461","October 2023"
"The University of Glasgow — Malaria Resistance Research","University of Glasgow","Scientific Research","$2,307,510","December 2023"
"International Centre of Insect Physiology and Ecology — Malaria Resistance Research","International Centre of Insect Physiology and Ecology","Human Health and Wellbeing","$3,012,207","December 2023"
"Dandelion Labs — Machine Learning and AI Safety Bootcamps","Dandelion Labs","Global Catastrophic Risks Capacity Building","$104,803","November 2023"
"Cambridge Existential Risk Initiative — Student Group Expenses","Cambridge Existential Risk Initiative","Global Catastrophic Risks Capacity Building","$50,006","December 2023"
"Cambridge Boston Alignment Initiative — Harvard AI Safety Team","Cambridge Boston Alignment Initiative","Global Catastrophic Risks Capacity Building","$550,000","November 2023"
"Longview Philanthropy — General Support","Longview Philanthropy","Global Catastrophic Risks Capacity Building","$3,624,130","December 2023"
"Development Learning Lab — Knowledge Reviews, Policy Reports, and Knowledge Services","Development Learning Lab","Global Aid Policy","$300,000","January 2024"
"Speculative Technologies — Research Program Training","Speculative Technologies","Innovation Policy","$250,000","November 2023"
"Anima International — General Support","Anima International","Farm Animal Welfare","$13,272,625","October 2023"
"Animal Welfare Corporate Partners — Cage-Free Implementation in Japan","Animal Welfare Corporate Partners","Cage-Free Reforms","$558,890","December 2023"
"London Initiative for Safe AI (LISA) — General Support","London Initiative for Safe AI","Potential Risks from Advanced AI","$237,000","November 2023"
"Center for Global Development — General Support (2023)","Center for Global Development","Global Aid Policy","$1,000,000","November 2023"
"Rethink Priorities — General and Research Support (2023)","Rethink Priorities","Global Health & Wellbeing","$670,000","November 2023"
"International Rescue Committee – Treatment of Malnutrition (October 2021)","International Rescue Committee","GiveWell-Recommended Charities","$42,000","October 2021"
"International Rescue Committee – Treatment of Malnutrition (May to August 2021)","International Rescue Committee","Global Health & Development","$19,907,422","May 2021"
"Stanford University — AI Economic Impacts Workshop","Stanford University","Potential Risks from Advanced AI","$120,000","November 2023"
"University of California, Berkeley — AI Alignment Workshop","University of California, Berkeley","Potential Risks from Advanced AI","$26,000","October 2023"
"Molecular Approaches to Malaria Conference — General Conference Support and Travel Grants","Molecular Approaches to Malaria Conference","Global Health R&D","$60,000","October 2023"
"Centre for Effective Altruism — Groups Team Support (EVF USA)","Centre for Effective Altruism","Global Catastrophic Risks Capacity Building","$276,127","October 2023"
"Centre for Effective Altruism — Groups Team Support (EVF)","Centre for Effective Altruism","Global Catastrophic Risks Capacity Building","$710,042","October 2023"
"Kyoto University — Reproductive Biology Research","Kyoto University","Human Health and Wellbeing","$4,000,000","October 2023"
"Fund for the Global Fund — Malaria Advocacy in France","Fund for the Global Fund","Global Aid Policy","$156,600","October 2023"
"Non-Trivial — Fellowship Program (October 2023)",Non-Trivial,"Global Catastrophic Risks Capacity Building","$1,264,691","October 2023"
"Doneer Effectief — General Support","Doneer Effectief","Effective Altruism (Global Health and Wellbeing)","$836,000","August 2023"
"The University of Queensland in America — StrepA Vaccine Research","The University of Queensland in America","Human Health and Wellbeing","$1,969,857","November 2023"
"P150 — General Support (2024)",P150,"Global Health & Wellbeing","$349,999","December 2023"
"CalHDF — General Support (2023)",CalHDF,"Land Use Reform","$440,000","November 2023"
"Berkeley Existential Risk Initiative — MATS (November 2023)","Berkeley Existential Risk Initiative","Global Catastrophic Risks Capacity Building","$2,641,368","November 2023"
"Clinton Health Access Initiative — Tuberculosis Drug Price Reduction","Clinton Health Access Initiative","Global Health R&D","$600,000","November 2023"
"Alignment Research Engineer Accelerator — AI Safety Technical Program (2023)","Alignment Research Engineer Accelerator","Potential Risks from Advanced AI","$127,350","November 2023"
"Energy for Growth Hub — General Support","The Energy for Growth Hub","Global Health & Wellbeing","$500,000","October 2023"
"AI Safety Support — MATS Program (November 2023)","AI Safety Support","Global Catastrophic Risks Capacity Building","$732,631","November 2023"
"Synonym Bio — Food Production Research","Synonym Bio","Biosecurity & Pandemic Preparedness","$30,000","November 2023"
"Forecasting Research Institute — Analysis of Historical Forecasts","Forecasting Research Institute",Forecasting,"$60,000","November 2023"
"Cambridge Boston Alignment Initiative — General Support for MIT AI Alignment","Cambridge Boston Alignment Initiative","Global Catastrophic Risks Capacity Building","$612,470","December 2023"
"Cambridge Boston Alignment Initiative — AI Research and Governance Workshop (2023)","Cambridge Boston Alignment Initiative","Global Catastrophic Risks Capacity Building","$66,950","December 2023"
"Effective Altruism Funds — Regranting and Operations Support (December 2023) ","Effective Altruism Funds","Global Catastrophic Risks Capacity Building","$5,026,513","December 2023"
"Rethink Priorities — Strategy Workshop","Rethink Priorities","Effective Altruism (Global Health and Wellbeing)","$35,000","September 2023"
"Diakonia — Aid Advocacy",Diakonia,"Global Aid Policy","$724,952","December 2023"
"Center for Responsible Food Business — Corporate Engagement Group","Center for Responsible Food Business","Farm Animal Welfare","$500,000","November 2023"
"ETH Zurich Foundation (USA) — Machine Learning Research Support","ETH Zurich Fondation (USA)","Potential Risks from Advanced AI","$25,000","November 2023"
"IISER Mohali — North India Pollution Research","IISER Mohali","South Asian Air Quality","$103,765","October 2023"
"Arcadia Impact — University Group Support","Arcadia Impact","Global Catastrophic Risks Capacity Building","$405,254","November 2023"
"PATH — Malaria Vaccine Trial (2022)",PATH,"Global Health & Development","$1,591,687","March 2023"
"One for the World — General Support (2022)","One for the World","Effective Altruism (Global Health and Wellbeing)","$299,285","June 2022"
"Fund for Global Talent Mobility — High-Skilled Immigration Grants","Fund for Global Talent Mobility","Innovation Policy","$900,000","October 2023"
